Jugador,Equipo,Posición específica,Edad,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",Duelos totales ganados/90,País de nacimiento,Pasaporte,Pie,Altura,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos defensivos ganados/90,Duelos aéreos en los 90,"Duelos aéreos ganados, %",Duelos aéreos ganados/90,Entradas/90,Interceptaciones/90,Faltas/90,Acciones de ataque exitosas/90,Goles/90,"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Dribling completados/90,Duelos atacantes/90,"Duelos atacantes ganados, %",Duelos atacantes ganados/90,Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases precisos/90,Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases precisos hacia adelante/90,Pases largos/90,"Precisión pases largos, %","Longitud media pases, m",xA/90,Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Pases en profundidad acertados/90,Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Pases progresivos exitosos/90
F. Peña Biafore,Lanús,Volante central,24,9,404,0,0.46,0,0,13.37,63.33,8.467221,Argentina,Argentina,derecho,180,8.47,4.9,72.73,3.56377,4.46,75,3.345,0,4.9,0.22,0.67,0,0,0.1,0,0,4,0.89,25,0,0,0,0,0.45,100,0.45,2,55.56,1.1112,0.89,0.45,0.22,30.97,0,0.89,40.99,86.41,35.419459,12.92,81.03,10.469076,4.01,61.11,19.68,0,0,6.01,66.67,0.22,0,0,0.22,0,3.79,88.24,3.344296
W. Bou,Lanús,Delantero,32,7,409,2,1.11,1,0.25,11.66,32.08,3.740528,Argentina,Argentina,derecho,174,5.72,3.96,50,1.98,2.42,27.27,0.659934,0.44,3.3,1.1,1.1,0.44,0.22,0.24,0,0,5,1.1,40,40,0.22,0.88,50,0,0,0,3.3,26.67,0.88011,1.76,0.66,0,19.8,2.64,0.66,25.09,75.44,18.927896,4.18,47.37,1.980066,1.98,66.67,17.25,0.06,0.44,1.32,33.33,0.22,100,0.22,0.44,0.44,2.2,60,1.32
E. Salvio,Lanús,Extremo,35,9,659,1,1.79,1,1.17,16.53,35.54,5.874762,Argentina,Argentina,derecho,173,6.42,4.51,57.58,2.596858,0.82,16.67,0.136694,0.27,3.55,0.68,3.28,0.14,0.14,0.24,0,0,10,1.37,60,10,0.14,2.59,31.58,3.82,42.86,1.637252,9.56,32.86,3.141416,3.14,2.19,0.41,28.95,1.5,0.82,34.28,80.88,27.725664,6.42,65.96,4.234632,1.5,27.27,15.59,0.16,0.82,2.05,73.33,0,0,0,0.68,0.96,4.37,59.38,2.594906
A. Cardozo,Lanús,Volante central,28,8,781,0,0,1,0.64,11.52,56,6.4512,Argentina,Argentina,derecho,182,7.38,4.49,64.1,2.87809,2.19,63.16,1.383204,0,4.49,1.15,0.23,0,0,0,0,0,0,0,0,0,0.12,0.35,33.33,0.12,100,0.12,2.77,50,1.385,0,1.04,0,36.41,0.46,0.58,51.86,91.11,47.249646,14.98,82.31,12.330038,4.03,74.29,17.25,0.07,0.23,9.33,86.42,0.46,50,0.23,0.58,0.12,6.91,75,5.1825
R. Carrera,Lanús,Volante interno,32,9,625,1,0.94,1,0.12,18.86,49.62,9.358332,Argentina,Argentina,derecho,182,8.35,4.75,60.61,2.878975,4.9,58.82,2.88218,0.86,4.61,1.01,0.86,0.14,0.14,0.14,0,0,8,1.15,25,12.5,0.14,1.3,11.11,1.15,37.5,0.43125,5.9,41.46,2.44614,1.15,0.72,0.14,22.03,1.44,1.15,31.1,68.06,21.16666,10.8,45.33,4.89564,5.62,48.72,19.04,0.02,0.43,4.32,40,0.72,40,0.288,1.15,0,5.76,70,4.032
M. Sepúlveda,Lanús,Volante interno,26,6,187,0,0.02,1,0.25,18.29,50,9.145,Chile,Chile,izquierdo,184,9.14,4.33,77.78,3.367874,4.33,44.44,1.924252,0.48,5.29,0.96,0.48,0,0,0.01,0,0,4,1.93,0,0,0.48,1.93,0,1.93,25,0.4825,8.66,38.89,3.367874,0.96,2.89,0.48,31.28,2.89,2.41,42.83,77.53,33.206099,12.51,57.69,7.217019,4.33,44.44,21.83,0.12,0,5.29,72.73,1.44,33.33,0.479952,0.48,0,6.74,71.43,4.814382
C. Izquierdoz,Lanús,Defensor central,37,7,683,1,0.36,0,0.11,14.23,57.41,8.169443,Argentina,"Argentina, Italy",derecho,185,6.06,4.61,57.14,2.634154,5.67,60.47,3.428649,0.4,3.03,0.79,0.4,0.13,0.13,0.05,1,0.13,4,0.53,25,25,0,0.13,100,0.13,100,0.13,0.92,85.71,0.788532,0.79,0.13,0,30.97,0.26,0.66,44.28,89.29,39.537612,19.11,80.69,15.419859,6.59,70,20.9,0.01,0,3.82,65.52,0.26,50,0.13,0.13,0.13,7.91,73.33,5.800403
T. Guidara,Lanús,Lateral derecho,30,8,694,0,0,0,0.36,18.67,54.17,10.113539,Argentina,Argentina,derecho,173,9.73,8.17,74.6,6.09482,2.33,61.11,1.423863,0,3.63,1.69,0.65,0,0,0,0,0,0,0,0,0,0,1.04,37.5,0.65,40,0.26,5.06,23.08,1.167848,0.26,0.91,0.13,28.92,1.17,0.78,41.5,83.13,34.49895,19.45,77.33,15.040685,5.58,51.16,18.96,0.05,0.26,6.48,70,0.13,0,0,0.39,0.39,11.28,74.71,8.427288
S. Marcich,Lanús,Lateral izquierdo,27,9,748,1,0.13,0,0.39,15.88,49.24,7.819312,Argentina,Argentina,izquierdo,175,6.5,6.26,50,3.13,2.53,47.62,1.204786,0,3.37,1.44,1.93,0.12,0.12,0.02,0,0,2,0.24,50,50,0,3.61,20,2.05,52.94,1.08527,4.45,45.95,2.044775,1.44,1.08,0.12,26.35,3.25,0.96,38.14,71.92,27.430288,12.87,62.62,8.059194,4.45,35.14,20.21,0.05,0.12,5.17,65.12,0.12,0,0,0.36,0.6,8.66,62.5,5.4125
F. Watson,Lanús,Volante interno,23,6,256,0,0.22,0,0,14.77,45.24,6.681948,Argentina,"Argentina, Italy",derecho,177,4.22,3.52,60,2.112,2.81,50,1.405,0.35,1.76,1.05,0,0,0,0.08,0,0,3,1.05,0,0,0,0,0,0,0,0,5.63,43.75,2.463125,1.05,1.76,0.35,34.45,2.46,1.76,36.21,92.23,33.396483,7.73,90.91,7.027343,0.7,100,11.4,0,0,3.87,90.91,0,0,0,1.05,0,3.52,70,2.464
N. Morgantini,Lanús,Lateral derecho,31,2,150,0,0,0,0,13.2,40.91,5.40012,Argentina,Argentina,derecho,178,6,6.6,45.45,2.9997,2.4,75,1.8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.6,0,0,3.6,16.67,0.60012,0,1.2,0.6,33,1.8,1.2,43.2,83.33,35.99856,18,73.33,13.1994,4.2,28.57,14.69,0,0,6,60,0,0,0,0,0.6,7.2,66.67,4.80024
G. Pérez,Lanús,Defensor central,25,3,133,0,0,0,0,10.15,60,6.09,Uruguay,Uruguay,derecho,184,5.41,4.74,57.14,2.708436,2.03,33.33,0.676599,0,2.71,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,39.92,0,0,50.75,92,46.69,21.65,90.63,19.621395,4.06,83.33,18.12,0,0,6.09,66.67,0,0,0,0,0,9.47,85.71,8.116737
J. Canale,Lanús,Defensor central,29,8,785,0,0.02,0,0.13,10.32,61.11,6.306552,Paraguay,Paraguay,izquierdo,187,8.03,3.55,67.74,2.40477,3.9,61.76,2.40864,0.23,5.39,0.69,0.11,0,0,0,0,0,1,0.11,0,0,0,0.11,0,0.11,100,0.11,1.15,50,0.575,0.46,0.57,0,28.55,0.8,0.57,40.01,85.67,34.276567,17.08,78.52,13.411216,5.62,42.86,20.75,0.02,0.11,2.87,44,0.46,50,0.23,0.34,0,7.22,65.08,4.698776
